Pressure(Pa),Temperature(K),CO2_mole_frac,CH4_mole_frac,CO2_uptake,CH4_uptake,CO2_Error,CH4_Error,P_BAR
3000000.1,300,0.404,0.596,510.9142734,43.25303661,6.737761094,1.200832252,30
3000000.1,300,0.5,0.5,561.6811864,31.98347336,4.946727779,1.056598581,30
3000000.1,300,0.596,0.404,605.2916879,22.65095022,3.8923975,0.518303746,30
3000000.1,300,0.692,0.308,636.4443452,15.86255758,5.203539786,0.437222761,30
3000000.1,300,0.788,0.212,664.619635,9.771662485,3.668370176,0.29500886,30
3000000.1,300,0.884,0.116,685.17661,4.884670901,2.592225331,0.186753088,30
3000000.1,300,0.98,0.02,707.0120936,0.802292915,3.460150377,0.059230253,30
3000000.1,320,0.02,0.98,28.22693568,114.2933557,0.302447595,0.503725999,30
3000000.1,320,0.116,0.884,151.6337975,94.02727093,2.916145865,0.903099879,30
3000000.1,320,0.212,0.788,253.8269268,75.53607687,1.505787222,0.409751671,30
3000000.1,320,0.308,0.692,340.7577854,59.6289622,5.062854268,0.735119693,30
3000000.1,320,0.404,0.596,409.5793025,46.33254845,6.034063158,0.465663753,30
3000000.1,320,0.5,0.5,465.6951115,34.97483244,2.904456925,0.29792078,30
3000000.1,320,0.596,0.404,515.1293239,25.39548819,4.868669472,0.280441336,30
3000000.1,320,0.692,0.308,552.0295873,17.92696997,3.209762594,0.199727661,30
3000000.1,320,0.788,0.212,584.393559,11.35871059,3.975103586,0.13417417,30
3000000.1,320,0.884,0.116,611.8068901,5.78609009,3.050363679,0.14607344,30
3000000.1,320,0.98,0.02,634.7678541,0.936395181,4.920405653,0.035694744,30
3000000.1,340,0.02,0.98,19.14253216,96.3739114,0.465482691,0.691377718,30
3000000.1,340,0.116,0.884,105.1526754,82.11998427,0.626672642,0.59502838,30
3000000.1,340,0.212,0.788,184.7100825,68.66367554,2.640060573,0.560834918,30
3000000.1,340,0.308,0.692,254.7190005,56.34135149,2.143598097,0.60456076,30
3000000.1,340,0.404,0.596,318.1674352,45.40815451,2.404340579,0.418043078,30
3000000.1,340,0.5,0.5,371.5301908,35.55815244,3.226413527,0.291975381,30
3000000.1,340,0.596,0.404,420.531687,26.7090605,4.092964478,0.306395101,30
3000000.1,340,0.692,0.308,460.8513086,19.01755789,4.09192345,0.258402396,30
3000000.1,340,0.788,0.212,496.0872649,12.24527741,2.835070364,0.241930347,30
3000000.1,340,0.884,0.116,530.6275473,6.257188533,2.268404994,0.146302599,30
3000000.1,340,0.98,0.02,557.513781,1.01887885,2.568578054,0.016591676,30
3000000.1,360,0.02,0.98,13.50976554,81.39384288,0.211771794,0.26356351,30
3000000.1,360,0.116,0.884,75.84754077,70.71714757,0.588954694,0.492752211,30
3000000.1,360,0.212,0.788,134.6902166,60.60666552,1.362113503,0.409752754,30
3000000.1,360,0.308,0.692,190.1448126,51.09210144,1.859275726,0.276202775,30
3000000.1,360,0.404,0.596,242.5773056,42.08705968,0.871048483,0.390203649,30
3000000.1,360,0.5,0.5,289.5062376,33.58040094,2.870506621,0.411541018,30
3000000.1,360,0.596,0.404,334.1994844,25.88873257,2.33847075,0.217898438,30
3000000.1,360,0.692,0.308,372.7256841,18.91256361,4.863977785,0.33306231,30
3000000.1,360,0.788,0.212,409.8148005,12.35716744,2.096990122,0.106153444,30
3000000.1,360,0.884,0.116,444.7182408,6.418641694,2.820035378,0.041535537,30
3000000.1,360,0.98,0.02,473.1811291,1.061446788,2.724779164,0.020917793,30
3000000.1,380,0.02,0.98,9.969930552,68.97146428,0.164121973,0.623971893,30
3000000.1,380,0.116,0.884,55.95141501,60.66116839,1.281991625,0.218007362,30
3000000.1,380,0.212,0.788,101.2982369,52.87511457,1.457995096,0.515609517,30
